symbol,side,outcome,exit_reason,p2_grade,entry_price,exit_price,pnl_usd,pnl_pct,size_usd,leverage,stop_loss,take_profit,hold_hours,p2_score,entry_time,exit_time,p1_snapshot
BANANAUSDT,LONG,LOSS,SL_HIT,VALID,5.108,4.567,-111.32281520005132,-21.18245888801877,525.5424584490412,2.0,4.5972,6.385,0.5034402136111111,65.0,2026-05-10 06:33:01.378219,2026-05-10 07:03:13.762988,
INXUSDT,LONG,WIN,TP_HIT,VALID,0.014117,0.017681,267.8040186192709,50.49231423106891,530.3857085926273,2.0,0.0127053,0.01764625,6.982222263611111,69.0,2026-05-09 23:49:11.164190,2026-05-10 06:48:07.164339,
BLESSUSDT,LONG,LOSS,MAX_HOLD,VALID,0.007189,0.007186,-0.4027360304148319,-0.0834608429545249,482.5448871086404,2.0,0.0064701,0.00898625,61.067254909722216,64.0,2026-05-07 17:44:04.109120,2026-05-10 06:48:06.226795,
HIGHUSDT,LONG,LOSS,MAX_HOLD,VALID,0.2295,0.2157,-59.53911429360103,-12.026143790849678,495.0806786370083,2.0,0.20655,0.286875,48.25098410472222,62.0,2026-05-08 06:33:01.880514,2026-05-10 06:48:05.423291,
BSBUSDT,LONG,LOSS,SL_HIT,WEAK,0.8709,0.78207,-20.39958663451601,-20.39958663451601,100.0,2.0,0.78381,1.088625,3.2810633241666665,61.0,2026-04-29 14:59:19.454523,2026-04-29 18:16:11.282490,
HUSDT,LONG,LOSS,MAX_HOLD,WEAK,0.17972,0.1792,-0.5786779434676083,-0.5786779434676083,100.0,2.0,0.161748,0.22465,4.040008430277778,56.0,2026-04-29 14:59:13.823814,2026-04-29 19:01:37.854163,
BIOUSDT,SHORT,WIN,MAX_HOLD,VALID,0.0327,0.03251,1.16207951070338,1.16207951070338,100.0,2.0,0.03597,0.0245249999999999,4.039265288888889,75.0,2026-04-29 14:59:16.504551,2026-04-29 19:01:37.859591,
ZEREBROUSDT,LONG,WIN,MAX_HOLD,WEAK,0.02148,0.023268,16.648044692737443,16.648044692737443,100.0,2.0,0.019332,0.02685,4.037998308888889,65.0,2026-04-29 14:59:21.069932,2026-04-29 19:01:37.863844,
GWEIUSDT,LONG,LOSS,SL_HIT,WEAK,0.10547,0.09426,-21.257229543946146,-21.257229543946146,100.0,2.0,0.094923,0.1318375,1.007577968611111,55.0,2026-04-29 19:15:42.403614,2026-04-29 20:16:09.684301,
JCTUSDT,LONG,LOSS,SL_HIT,WEAK,0.003804,0.00339,-21.7665615141956,-21.7665615141956,100.0,2.0,0.0034236,0.004755,1.5142122594444445,60.0,2026-04-29 19:15:37.003089,2026-04-29 20:46:28.167223,
SKYAIUSDT,SHORT,LOSS,SL_HIT,WEAK,0.23183,0.26126,-25.38929387913556,-25.38929387913556,100.0,2.0,0.255013,0.1738725,1.261023755,61.0,2026-04-29 21:01:39.876453,2026-04-29 22:17:19.561971,
AIOTUSDT,LONG,WIN,TP_HIT,WEAK,0.09673,0.12158,51.38013025948516,51.38013025948516,100.0,2.0,0.087057,0.1209124999999999,2.019171635555556,66.0,2026-04-29 21:01:38.290273,2026-04-29 23:02:47.308161,
ZEREBROUSDT,LONG,WIN,MAX_HOLD,WEAK,0.023678,0.024717,8.776079060731465,8.776079060731465,100.0,2.0,0.0213102,0.0295975,4.038466373333334,55.0,2026-04-29 19:15:38.666968,2026-04-29 23:17:57.145912,
TACUSDT,LONG,WIN,MAX_HOLD,WEAK,0.015835,0.017013,14.878433849068545,14.878433849068545,100.0,2.0,0.0142514999999999,0.01979375,4.036828618333334,60.0,2026-04-29 19:15:44.567595,2026-04-29 23:17:57.150621,
SKYAIUSDT,LONG,LOSS,SL_HIT,WEAK,0.26086,0.23248,-21.75879782258682,-21.75879782258682,100.0,2.0,0.2347739999999999,0.326075,1.0092627827777778,57.0,2026-04-29 22:17:23.808429,2026-04-29 23:17:57.154447,
NAORISUSDT,LONG,LOSS,MAX_HOLD,WEAK,0.11283,0.11013,-4.785961180537081,-4.785961180537081,100.0,2.0,0.101547,0.1410375,4.0376217025,60.0,2026-04-29 19:45:59.386318,2026-04-29 23:48:14.824447,
SOLVUSDT,LONG,WIN,MAX_HOLD,WEAK,0.004773,0.004905,5.5311125078566645,5.5311125078566645,100.0,2.0,0.0042957,0.00596625,4.0389470308333335,60.0,2026-04-29 20:31:20.036082,2026-04-30 00:33:40.245393,
UBUSDT,LONG,WIN,MAX_HOLD,WEAK,0.06542,0.06606,1.9565881993273853,1.9565881993273853,100.0,2.0,0.058878,0.081775,4.037747191944445,57.0,2026-04-29 20:31:24.361177,2026-04-30 00:33:40.251068,
DOTUSDT,LONG,LOSS,MAX_HOLD,WEAK,1.228,1.185,-7.003257328990216,-7.003257328990216,100.0,2.0,1.1052,1.535,4.0361745525,60.0,2026-04-29 21:32:02.147847,2026-04-30 01:34:12.376236,
LUMIAUSDT,LONG,LOSS,SL_HIT,WEAK,0.20879,0.18481,-22.97044877628239,-22.97044877628239,100.0,2.0,0.187911,0.2609875,2.7742053894444445,55.0,2026-04-29 23:18:03.140512,2026-04-30 02:04:30.279914,
